Date = 2017-10-05 12:30:00.8224; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:01.3884; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:01.9394; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:40.0605; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:43.6772; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:44.5434; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:46.4590; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:51.8058; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:53.4458; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:54.8748; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:55.3894; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:55.7964; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:56.2657; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:56.7667; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:57.3249; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:57.7316; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:58.2519; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:58.7322; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:59.4433; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:31:00.0426; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:31:01.7326; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:31:03.2521; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:35:44.1310; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:35:45.3078; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:35:46.0856; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:37.9341; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:38.8655; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:39.6865; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:40.8872; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:41.6272; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:42.2356; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:43.0911; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:43.7182; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:44.5206; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:45.0294; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:45.8413; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:46.3775; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:46.8669; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:47.3164; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:46:47.8300; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:48:21.7155; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:48:27.7344; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:49:12.2477; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:56:09.2637; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:56:17.8324; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:56:42.6774; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:29.0036; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:35.1923; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:37.1185; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:39.2653; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:39.8088; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:57:40.2361; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:01:36.3576; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:43.6501; IP = ; URL = ; Controller = ; Action = ;
